"Dấu thời gian","Trong 7 ngày qua, bạn đã cần tìm thông tin hoặc hỏi đáp trên Discord khóa học bao nhiêu lần?","Lần gần nhất, bạn cần tìm thông tin thuộc nhóm nào?","Kể ngắn gọn lần đó: bạn cần biết điều gì hoặc hoàn thành việc gì?","Bạn đã làm những gì để tìm câu trả lời trong lần đó?","Trở ngại lớn nhất trong lần đó là gì?","Bạn đã dành khoảng bao lâu chủ động tìm, đọc hoặc hỏi trong lần đó?","Cuối cùng, bạn có giải quyết được việc cần làm không?","Việc tìm thông tin lần đó ảnh hưởng thế nào đến việc học/làm bài?","Riêng trong lần đó, bạn có dùng bot Trợ lý Discord không? Kết quả thế nào?","Trong 7 ngày qua, trở ngại tương tự đã xảy ra bao nhiêu lần?"
"2026/09/16 6:52:23 CH GMT+7","7 lần trở lên","Lịch học hoặc thông báo","Tra cứu thông tin TKB","Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ","Có nhiều thông tin khác nhau, không biết thông tin nào áp dụng","Từ 5 đến dưới 10 phút","Có, đủ thông tin để tiếp tục","Tốn thời gian","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","2-3"
"2026/09/16 6:56:52 CH GMT+7","2-3 lần","Hạn nộp, đường dẫn hoặc cách nộp bài","Cần biết link nộp bài","Đọc thông báo hoặc tin ghim;Dùng chức năng tìm kiếm Discord;Cuộn đọc tin nhắn cũ","Không tìm thấy thông báo hoặc đường dẫn cần dùng","Từ 10 đến dưới 20 phút","Có, đủ thông tin để tiếp tục","Mất thời gian","Không dùng bot","2-3"
"2026/09/16 6:57:13 CH GMT+7","2-3 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","Hậ","Hỏi bạn học","Chưa nhận được câu trả lời đủ để tiếp tục","Từ 10 đến dưới 20 phút","Chỉ giải quyết được một phần","Hehe","Có, câu trả lời đủ để tôi tiếp tục","2-3"
"2026/09/16 6:57:34 CH GMT+7","2-3 lần","Hạn nộp, đường dẫn hoặc cách nộp bài","tôi cần nộp","Đọc thông báo hoặc tin ghim;Hỏi bot Trợ lý;Hỏi bạn học","Không tìm thấy thông báo hoặc đường dẫn cần dùng","Từ 1 đến dưới 5 phút","Có, đủ thông tin để tiếp tục","khó","Có, câu trả lời đủ để tôi tiếp tục","2-3"
"2026/09/16 6:57:50 CH GMT+7","4-6 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","Mình bị sai MSSV khi điểm danh","Hỏi bạn học;Hỏi TA/giảng viên/BTC","Chưa nhận được câu trả lời đủ để tiếp tục","Từ 10 đến dưới 20 phút","Chưa giải quyết được","Không quá ảnh hưởng","Có, nhưng tôi phải hỏi lại hoặc tìm nguồn khác","Không nhớ"
"2026/09/16 6:58:22 CH GMT+7","2-3 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","không nhớ","Đọc thông báo hoặc tin ghim;Hỏi bot Trợ lý","Không gặp trở ngại","Dưới 1 phút","Có, đủ thông tin để tiếp tục","giải quyết vấn đề","Có, câu trả lời đủ để tôi tiếp tục","1"
"2026/09/16 6:58:43 CH GMT+7","7 lần trở lên","Điểm danh, standup, XP hoặc thủ tục khóa học","Tôi cần biết nội dung chủ đề build","Dùng chức năng tìm kiếm Discord;Hỏi bot Trợ lý","Không gặp trở ngại","Từ 5 đến dưới 10 phút","Có, đủ thông tin để tiếp tục","Không ảnh hưởng ","Có, câu trả lời đủ để tôi tiếp tục","1"
"2026/09/16 7:00:00 CH GMT+7","2-3 lần","Điểm danh, standup, XP hoặc thủ tục khóa học","nhận thông tin từ chương trình AI 20K","Đọc thông báo hoặc tin ghim;Hỏi bot Trợ lý","Không gặp trở ngại","Từ 1 đến dưới 5 phút","Có, đủ thông tin để tiếp tục","không ảnh hưởng gì","Có, câu trả lời đủ để tôi tiếp tục","1"
"2026/09/16 7:00:15 CH GMT+7","7 lần trở lên","Kiến thức hoặc lỗi khi làm bài","Cách đề xuất đề tài mới","Đọc thông báo hoặc tin ghim;Cuộn đọc tin nhắn cũ","Có nhiều thông tin khác nhau, không biết thông tin nào áp dụng","Từ 5 đến dưới 10 phút","Có, đủ thông tin để tiếp tục","Hoàn thành đúng hạn và đúng yêu cầu","Có, câu trả lời đủ để tôi tiếp tục","4 trở lên"
"2026/09/16 7:00:30 CH GMT+7","2-3 lần","Điểm cộng","Mình cần biết điểm của mình đã được cộng hay chưa do lên vlearn kiểm tra thì không thấy yêu cầu nữa","Tìm trên VLearn hoặc tài liệu khác","Không gặp trở ngại","Từ 1 đến dưới 5 phút","Có, đủ thông tin để tiếp tục","Không ảnh hưởng","Không dùng bot","0"
